2019-04-04 21:05:35.520244 : Step: 3000/93698, accuracy: 0.941406, cls loss: 0.216831, bbox loss: 0.091131,Landmark loss :0.028522,L2 loss: 0.049130, Total Loss: 0.340048 ,lr:0.001000 
2019-04-04 21:12:55.737272 : Step: 3100/93698, accuracy: 0.960938, cls loss: 0.127291, bbox loss: 0.094676,Landmark loss :0.030073,L2 loss: 0.049109, Total Loss: 0.253811 ,lr:0.001000 
2019-04-04 21:20:14.988803 : Step: 3200/93698, accuracy: 0.953125, cls loss: 0.275239, bbox loss: 0.086703,Landmark loss :0.029621,L2 loss: 0.049090, Total Loss: 0.397303 ,lr:0.001000 
2019-04-04 21:27:35.117584 : Step: 3300/93698, accuracy: 0.949219, cls loss: 0.198567, bbox loss: 0.080045,Landmark loss :0.032118,L2 loss: 0.049067, Total Loss: 0.319774 ,lr:0.001000 
2019-04-04 21:34:54.707868 : Step: 3400/93698, accuracy: 0.945312, cls loss: 0.180988, bbox loss: 0.097345,Landmark loss :0.038153,L2 loss: 0.049047, Total Loss: 0.316859 ,lr:0.001000 
2019-04-04 21:42:07.321758 : Step: 3500/93698, accuracy: 0.941406, cls loss: 0.234681, bbox loss: 0.085415,Landmark loss :0.034635,L2 loss: 0.049025, Total Loss: 0.361048 ,lr:0.001000 
2019-04-04 21:49:27.564717 : Step: 3600/93698, accuracy: 0.953125, cls loss: 0.172825, bbox loss: 0.083989,Landmark loss :0.031275,L2 loss: 0.048999, Total Loss: 0.295093 ,lr:0.001000 
2019-04-04 21:56:48.679287 : Step: 3700/93698, accuracy: 0.949219, cls loss: 0.212843, bbox loss: 0.082750,Landmark loss :0.025138,L2 loss: 0.048976, Total Loss: 0.328332 ,lr:0.001000 
2019-04-04 22:04:07.146974 : Step: 3800/93698, accuracy: 0.945312, cls loss: 0.224315, bbox loss: 0.094941,Landmark loss :0.040952,L2 loss: 0.048953, Total Loss: 0.361690 ,lr:0.001000 
2019-04-04 22:11:33.691089 : Step: 3900/93698, accuracy: 0.957031, cls loss: 0.183951, bbox loss: 0.076581,Landmark loss :0.035631,L2 loss: 0.048924, Total Loss: 0.306796 ,lr:0.001000 
2019-04-04 22:19:02.204254 : Step: 4000/93698, accuracy: 0.945312, cls loss: 0.214618, bbox loss: 0.079571,Landmark loss :0.033663,L2 loss: 0.048899, Total Loss: 0.336966 ,lr:0.001000 
2019-04-04 22:26:26.801294 : Step: 4100/93698, accuracy: 0.957031, cls loss: 0.172125, bbox loss: 0.083035,Landmark loss :0.031378,L2 loss: 0.048871, Total Loss: 0.293892 ,lr:0.001000 
2019-04-04 22:33:44.922781 : Step: 4200/93698, accuracy: 0.957031, cls loss: 0.197726, bbox loss: 0.092854,Landmark loss :0.031901,L2 loss: 0.048842, Total Loss: 0.324896 ,lr:0.001000 
path prefix is :../data/MTCNN_model/ONet_landmark/ONet-1
2019-04-05 16:08:27.433545 : Step: 4300/93639, accuracy: 0.964844, cls loss: 0.110490, bbox loss: 0.083026,Landmark loss :0.030662,L2 loss: 0.048797, Total Loss: 0.231463 ,lr:0.001000 
2019-04-05 16:19:54.004367 : Step: 4400/93639, accuracy: 0.945312, cls loss: 0.191484, bbox loss: 0.096220,Landmark loss :0.028097,L2 loss: 0.048768, Total Loss: 0.316459 ,lr:0.001000 
2019-04-05 16:31:15.899028 : Step: 4500/93639, accuracy: 0.945312, cls loss: 0.172822, bbox loss: 0.095552,Landmark loss :0.027640,L2 loss: 0.048749, Total Loss: 0.296987 ,lr:0.001000 
2019-04-05 16:42:14.878343 : Step: 4600/93639, accuracy: 0.949219, cls loss: 0.247505, bbox loss: 0.088794,Landmark loss :0.028525,L2 loss: 0.048722, Total Loss: 0.369149 ,lr:0.001000 
2019-04-05 16:52:54.852904 : Step: 4700/93639, accuracy: 0.960938, cls loss: 0.179766, bbox loss: 0.066320,Landmark loss :0.027918,L2 loss: 0.048697, Total Loss: 0.289541 ,lr:0.001000 
2019-04-05 17:03:11.977280 : Step: 4800/93639, accuracy: 0.968750, cls loss: 0.176463, bbox loss: 0.075817,Landmark loss :0.031046,L2 loss: 0.048666, Total Loss: 0.294083 ,lr:0.001000 
2019-04-05 17:13:54.298761 : Step: 4900/93639, accuracy: 0.953125, cls loss: 0.187063, bbox loss: 0.092098,Landmark loss :0.025981,L2 loss: 0.048635, Total Loss: 0.307727 ,lr:0.001000 
2019-04-05 17:24:55.952010 : Step: 5000/93639, accuracy: 0.941406, cls loss: 0.206582, bbox loss: 0.083052,Landmark loss :0.031890,L2 loss: 0.048616, Total Loss: 0.328614 ,lr:0.001000 
2019-04-05 17:33:33.880919 : Step: 5100/93639, accuracy: 0.933594, cls loss: 0.234014, bbox loss: 0.084416,Landmark loss :0.025498,L2 loss: 0.048587, Total Loss: 0.350307 ,lr:0.001000 
2019-04-05 17:41:06.362661 : Step: 5200/93639, accuracy: 0.933594, cls loss: 0.232597, bbox loss: 0.087667,Landmark loss :0.034131,L2 loss: 0.048560, Total Loss: 0.359122 ,lr:0.001000 
2019-04-05 17:48:51.910470 : Step: 5300/93639, accuracy: 0.953125, cls loss: 0.162525, bbox loss: 0.089940,Landmark loss :0.032703,L2 loss: 0.048534, Total Loss: 0.288732 ,lr:0.001000 
2019-04-05 17:57:31.087170 : Step: 5400/93639, accuracy: 0.960938, cls loss: 0.175594, bbox loss: 0.072928,Landmark loss :0.029087,L2 loss: 0.048500, Total Loss: 0.289645 ,lr:0.001000 
2019-04-05 18:06:23.942566 : Step: 5500/93639, accuracy: 0.945312, cls loss: 0.133897, bbox loss: 0.070539,Landmark loss :0.025764,L2 loss: 0.048471, Total Loss: 0.243402 ,lr:0.001000 
2019-04-05 18:15:58.942785 : Step: 5600/93639, accuracy: 0.964844, cls loss: 0.162186, bbox loss: 0.069646,Landmark loss :0.029377,L2 loss: 0.048452, Total Loss: 0.274837 ,lr:0.001000 
2019-04-05 18:25:25.267844 : Step: 5700/93639, accuracy: 0.949219, cls loss: 0.208390, bbox loss: 0.073672,Landmark loss :0.026681,L2 loss: 0.048422, Total Loss: 0.320329 ,lr:0.001000 
2019-04-05 18:34:47.231957 : Step: 5800/93639, accuracy: 0.972656, cls loss: 0.142420, bbox loss: 0.084974,Landmark loss :0.030199,L2 loss: 0.048396, Total Loss: 0.263501 ,lr:0.001000 
2019-04-05 18:44:07.384302 : Step: 5900/93639, accuracy: 0.925781, cls loss: 0.235089, bbox loss: 0.083572,Landmark loss :0.027631,L2 loss: 0.048365, Total Loss: 0.352871 ,lr:0.001000 
2019-04-05 18:53:25.451406 : Step: 6000/93639, accuracy: 0.976562, cls loss: 0.128766, bbox loss: 0.071942,Landmark loss :0.028189,L2 loss: 0.048340, Total Loss: 0.241266 ,lr:0.001000 
