2019-03-24 20:38:35.472280 : Step: 3000/106546, accuracy: 0.855469, cls loss: 0.479680, bbox loss: 0.085738,Landmark loss :0.055217,L2 loss: 0.024026, Total Loss: 0.574183 ,lr:0.001000 
2019-03-24 20:39:47.865372 : Step: 3100/106546, accuracy: 0.851562, cls loss: 0.468231, bbox loss: 0.099829,Landmark loss :0.055180,L2 loss: 0.024051, Total Loss: 0.569786 ,lr:0.001000 
2019-03-24 20:41:00.984088 : Step: 3200/106546, accuracy: 0.851562, cls loss: 0.493765, bbox loss: 0.109107,Landmark loss :0.063875,L2 loss: 0.024073, Total Loss: 0.604329 ,lr:0.001000 
2019-03-24 20:42:13.671305 : Step: 3300/106546, accuracy: 0.839844, cls loss: 0.498773, bbox loss: 0.093272,Landmark loss :0.063296,L2 loss: 0.024097, Total Loss: 0.601154 ,lr:0.001000 
2019-03-24 20:43:26.217166 : Step: 3400/106546, accuracy: 0.867188, cls loss: 0.450614, bbox loss: 0.091067,Landmark loss :0.051756,L2 loss: 0.024113, Total Loss: 0.546138 ,lr:0.001000 
2019-03-24 20:44:38.925159 : Step: 3500/106546, accuracy: 0.863281, cls loss: 0.491719, bbox loss: 0.101960,Landmark loss :0.051432,L2 loss: 0.024141, Total Loss: 0.592557 ,lr:0.001000 
2019-03-24 20:45:52.217789 : Step: 3600/106546, accuracy: 0.851562, cls loss: 0.489460, bbox loss: 0.101119,Landmark loss :0.054361,L2 loss: 0.024166, Total Loss: 0.591366 ,lr:0.001000 
2019-03-24 20:47:04.953872 : Step: 3700/106546, accuracy: 0.898438, cls loss: 0.386661, bbox loss: 0.092080,Landmark loss :0.049995,L2 loss: 0.024186, Total Loss: 0.481885 ,lr:0.001000 
2019-03-24 20:48:17.432353 : Step: 3800/106546, accuracy: 0.867188, cls loss: 0.430740, bbox loss: 0.103654,Landmark loss :0.058634,L2 loss: 0.024206, Total Loss: 0.536090 ,lr:0.001000 
2019-03-24 20:49:29.677959 : Step: 3900/106546, accuracy: 0.871094, cls loss: 0.434974, bbox loss: 0.089220,Landmark loss :0.045156,L2 loss: 0.024236, Total Loss: 0.526398 ,lr:0.001000 
2019-03-24 20:50:42.333039 : Step: 4000/106546, accuracy: 0.921875, cls loss: 0.300827, bbox loss: 0.103014,Landmark loss :0.049878,L2 loss: 0.024252, Total Loss: 0.401525 ,lr:0.001000 
2019-03-24 20:51:54.970960 : Step: 4100/106546, accuracy: 0.890625, cls loss: 0.395779, bbox loss: 0.093756,Landmark loss :0.048423,L2 loss: 0.024282, Total Loss: 0.491150 ,lr:0.001000 
2019-03-24 20:53:06.910219 : Step: 4200/106546, accuracy: 0.894531, cls loss: 0.387790, bbox loss: 0.105460,Landmark loss :0.048976,L2 loss: 0.024298, Total Loss: 0.489306 ,lr:0.001000 
2019-03-24 20:54:18.773040 : Step: 4300/106546, accuracy: 0.902344, cls loss: 0.356780, bbox loss: 0.096582,Landmark loss :0.046629,L2 loss: 0.024324, Total Loss: 0.452710 ,lr:0.001000 
2019-03-24 20:55:31.071214 : Step: 4400/106546, accuracy: 0.878906, cls loss: 0.405804, bbox loss: 0.087107,Landmark loss :0.055633,L2 loss: 0.024342, Total Loss: 0.501516 ,lr:0.001000 
2019-03-24 20:56:43.024790 : Step: 4500/106546, accuracy: 0.882812, cls loss: 0.408415, bbox loss: 0.090959,Landmark loss :0.041628,L2 loss: 0.024366, Total Loss: 0.499074 ,lr:0.001000 
2019-03-24 20:57:54.667970 : Step: 4600/106546, accuracy: 0.886719, cls loss: 0.412241, bbox loss: 0.084718,Landmark loss :0.052650,L2 loss: 0.024384, Total Loss: 0.505309 ,lr:0.001000 
2019-03-24 20:59:06.465009 : Step: 4700/106546, accuracy: 0.917969, cls loss: 0.375203, bbox loss: 0.082346,Landmark loss :0.046135,L2 loss: 0.024409, Total Loss: 0.463852 ,lr:0.001000 
2019-03-24 21:00:18.439044 : Step: 4800/106546, accuracy: 0.914062, cls loss: 0.325918, bbox loss: 0.105839,Landmark loss :0.050196,L2 loss: 0.024431, Total Loss: 0.428367 ,lr:0.001000 
